formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.1145,0.0274,0.0871
2016,2016-04-01,2017-04-03,10,0.2334,0.1608,0.0726
2017,2017-04-03,2018-04-02,10,0.349,0.115,0.234
2018,2018-04-02,2019-04-01,10,0.1294,0.1317,-0.0023
2019,2019-04-01,2020-04-01,10,-0.0375,-0.1212,0.0837
2020,2020-04-01,2021-04-01,10,0.7026,0.6536,0.049
2021,2021-04-01,2022-04-01,10,0.0952,0.1455,-0.0502
2022,2022-04-01,2023-04-03,10,-0.0352,-0.0773,0.0421
2023,2023-04-03,2024-04-01,10,0.3001,0.289,0.0111
2024,2024-04-01,2025-04-01,10,-0.0668,0.088,-0.1548
2025,2025-04-01,2026-04-01,10,0.2766,0.1814,0.0952
