formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.1147,0.0274,0.0873
2016,2016-04-01,2017-04-03,10,0.3074,0.1608,0.1466
2017,2017-04-03,2018-04-02,10,0.5062,0.115,0.3912
2018,2018-04-02,2019-04-01,10,0.1294,0.1317,-0.0023
2019,2019-04-01,2020-04-01,10,0.0184,-0.1212,0.1396
2020,2020-04-01,2021-04-01,10,0.6641,0.6536,0.0105
2021,2021-04-01,2022-04-01,10,0.1553,0.1455,0.0098
2022,2022-04-01,2023-04-03,10,-0.0352,-0.0773,0.0421
2023,2023-04-03,2024-04-01,10,0.5343,0.289,0.2453
2024,2024-04-01,2025-04-01,10,0.0468,0.088,-0.0412
2025,2025-04-01,2026-04-01,10,0.2766,0.1814,0.0952
