formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,BKNG,81.2,66.2,96.3,0.7778,"FCF Margin, FCF Conversion",3,0.5,2015-04-01,45.0275,2016-04-01,50.9066,0.1306
2015,2,ANET,92.2,95.9,88.5,0.8889,EPS CAGR,2,0.0,2015-04-01,4.3513,2016-04-01,3.8837,-0.1074
2015,3,META,77.6,66.9,88.3,0.7778,"ROIC, EPS CAGR",3,0.5,2015-04-01,80.959,2016-04-01,115.0497,0.4211
2015,4,LRCX,84.8,84.3,85.3,0.7778,"FCF Margin, FCF Conversion",4,0.0,2015-04-01,6.0187,2016-04-01,7.2165,0.199
2015,5,TXN,79.9,75.8,84.1,0.7778,"FCF Margin, FCF Conversion",4,0.3333,2015-04-01,41.3862,2016-04-01,43.5718,0.0528
2015,6,AMAT,80.2,77.5,83.0,1.0,,4,0.0,2015-04-01,19.5561,2016-04-01,19.1231,-0.0221
2015,7,HON,81.6,81.2,81.9,0.7778,"FCF Margin, FCF Conversion",5,0.25,2015-04-01,76.7795,2016-04-01,86.015,0.1203
2015,8,AAPL,80.2,80.0,80.3,0.7778,"FCF Margin, FCF Conversion",6,0.2,2015-04-01,27.5788,2016-04-01,24.8662,-0.0984
2015,9,ROK,77.9,76.4,79.4,0.7778,"FCF Margin, FCF Conversion",4,0.3333,2015-04-01,90.7707,2016-04-01,93.3747,0.0287
2015,10,UNP,76.2,73.6,78.8,0.7778,"FCF Margin, FCF Conversion",4,0.3333,2015-04-01,83.3646,2016-04-01,62.8641,-0.2459
2016,1,ANET,93.8,93.5,94.0,0.8889,ROIC,3,0.0,2016-04-01,3.8837,2017-04-01,8.2312,1.1194
2016,2,GOOGL,81.2,69.0,93.3,1.0,,8,0.4286,2016-04-01,38.1453,2017-04-01,42.461,0.1131
2016,3,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-04-01,115.0497,2017-04-01,141.0414,0.2259
2016,4,LRCX,80.8,72.8,88.8,0.7778,"FCF Margin, FCF Conversion",5,0.25,2016-04-01,7.2165,2017-04-01,11.3444,0.572
2016,5,REGN,79.2,73.2,85.3,0.8889,ROIC,5,0.25,2016-04-01,401.4615,2017-04-01,379.6077,-0.0544
2016,6,CRM,89.8,97.0,82.5,0.7778,"ROIC, EPS CAGR",1,0.0,2016-04-01,74.4421,2017-04-01,80.9102,0.0869
2016,7,NKE,81.2,80.4,82.0,0.8889,ROIC,5,0.25,2016-04-01,53.5125,2017-04-01,48.8761,-0.0866
2016,8,SHW,76.2,71.8,80.5,1.0,,6,0.4,2016-04-01,87.211,2017-04-01,94.6622,0.0854
2016,9,EL,76.3,76.4,76.2,0.7778,"FCF Margin, FCF Conversion",4,0.3333,2016-04-01,83.8685,2017-04-01,74.3184,-0.1139
2016,10,CPRT,80.2,91.0,69.4,0.7778,"FCF Margin, FCF Conversion",6,0.0,2016-04-01,5.1487,2017-04-01,7.6,0.4761
2017,1,ADBE,76.8,61.5,92.0,0.8889,ROIC,7,0.5,2017-04-01,129.59,2018-04-01,212.28,0.6381
